Name,Adress,Zip,Grade,Score,Latitude,Longitude,Coordinates
ST-XANADU HOUSE,"558 MAYFIELD ,STANFORD, CA 94309",94309,Pass,100,37.189396,-121.705327,"(37.189396,-121.705327)"
VIA SERVICES - KITCHEN,"13851 STEVENS CANYON RD ,CUPERTINO, CA 95014",95014,Pass,97,37.277243,-122.084633,"(37.277243,-122.084633)"
ALOFT - KITCHEN,"510 AMERICA CENTER CT,SAN JOSE, CA 95002",95002,Pass,89,37.287521,-121.831116,"(37.287521,-121.831116)"
TASTY POT,"1183 S DE ANZA BL STE 30,SAN JOSE, CA 95129",95129,Pass,89,37.303417,-122.032666,"(37.303417,-122.032666)"
REGNART ELEMENTARY SCHOOL,"1170 YORKSHIRE DR ,CUPERTINO, CA 95014",95014,Pass,89,37.303718,-122.046919,"(37.303718,-122.046919)"
LEE'S SANDWICHES,"20363 STEVENS CREEK BL ,CUPERTINO, CA 95014",95014,Pass,47,37.30661,-122.080628,"(37.30661,-122.080628)"
TOP CAFE,"1075 S DE ANZA BL ,SAN JOSE, CA 95129",95129,Pass,79,37.306937,-122.032713,"(37.306937,-122.032713)"
PFT CHINESE FOOD INC,"1072 S DE ANZA BL # B103,SAN JOSE, CA 95129",95129,Pass,86,37.307622,-122.03165,"(37.307622,-122.03165)"
ROTTEN ROBBIE #7,"1051 S DE ANZA BL,SAN JOSE, CA 95129",95129,Pass,85,37.307937,-122.032676,"(37.307937,-122.032676)"
MORI KITCHEN,"1000 S DE ANZA BL,SAN JOSE, CA 95129",95129,Pass,75,37.31026,-122.031728,"(37.31026,-122.031728)"
HOLDER'S COUNTRY INN,"998 S DE ANZA BL ,SAN JOSE, CA 95129",95129,Pass,90,37.310761,-122.031667,"(37.310761,-122.031667)"
JOHN F KENNEDY MIDDLE SCHOOL,"821 BUBB RD,CUPERTINO, CA 95014",95014,Pass,98,37.310894,-122.050724,"(37.310894,-122.050724)"
HOME DEPOT #6635 THE,"975 DE ANZA BL ,SAN JOSE, CA 95129",95129,Pass,97,37.310904,-122.033472,"(37.310904,-122.033472)"
DEEP CLIFF GOLF COURSE-SNACK BAR,"10700 CLUB HOUSE LN ,CUPERTINO, CA 95014",95014,Pass,71,37.311545,-122.065819,"(37.311545,-122.065819)"
TRADER JOE'S #232,"7250 BOLLINGER RD ,SAN JOSE, CA 95129",95129,Pass,86,37.311776,-122.030934,"(37.311776,-122.030934)"
