Name,Adress,Adress2,Zip,Grade,Score,Latitude,Longitude,Coordinates
Happy Lemon,"605 E El Camino Real Ste 4,Sunnyvale, Ca 94121","605 E EL CAMINO REAL STE 4,SUNNYVALE, CA 94121",94121,Pass,90,37.786233,-122.49018,"(37.786233,-122.49018)"
St-Beefeaters Dining Society,"591 Los Arboles Av,Stanford, Ca 94305","591 LOS ARBOLES AV,STANFORD, CA 94305",94305,Pass,90,37.425472,-122.184351,"(37.425472,-122.184351)"
St-Coupa Cafe Golf Course,"198 Junipero Serra Bl ,Stanford, Ca 94305","198 JUNIPERO SERRA BL ,STANFORD, CA 94305",94305,Pass,97,37.421776,-122.182317,"(37.421776,-122.182317)"
St-Christine Ricker,"238 Santa Teresa St & Campus ,Stanford, Ca 94305","238 SANTA TERESA ST & CAMPUS ,STANFORD, CA 94305",94305,Pass,100,37.425699,-122.1819,"(37.425699,-122.1819)"
Go Fish Poke Bar,"244B Stanford Shopping Center,Palo Alto, Ca 94304","244B STANFORD SHOPPING CENTER,PALO ALTO, CA 94304",94304,Pass,79,37.374707,-122.181697,"(37.374707,-122.181697)"
St-Center For Advanced Study At Sta,"75 Alta Rd,Stanford, Ca 94305","75 ALTA RD,STANFORD, CA 94305",94305,Pass,100,37.419438,-122.179843,"(37.419438,-122.179843)"
Stanford West Conner Store,"700 Clark Wy ,Palo Alto, Ca 94304","700 CLARK WY ,PALO ALTO, CA 94304",94304,Pass,100,37.438961,-122.178725,"(37.438961,-122.178725)"
Luttickens Cafe @ Ccsr,"269 Campus Dr Rm 1205,Stanford, Ca 94305","269 CAMPUS DR RM 1205,STANFORD, CA 94305",94305,Pass,92,37.431998,-122.177317,"(37.431998,-122.177317)"
Stanford Healthcare - Ground Floor Kitchen,"500 Pasteur Dr,Stanford, Ca 94305","500 PASTEUR DR,STANFORD, CA 94305",94305,Pass,87,37.43318,-122.17671,"(37.43318,-122.17671)"
Stanford Hospital Espresso Cart,"300 Pasteur Dr ,Stanford, Ca 94305","300 PASTEUR DR ,STANFORD, CA 94305",94305,Pass,95,37.433809,-122.17649,"(37.433809,-122.17649)"
Zoomcaffe Amc,"875 Blake Wilbur Dr,Palo Alto, Ca 94304","875 BLAKE WILBUR DR,PALO ALTO, CA 94304",94304,Pass,89,37.434909,-122.176448,"(37.434909,-122.176448)"
Lutticken'S Bistro @ Beckman Center,"279 Campus Dr Rm 062,Stanford, Ca 94305","279 CAMPUS DR RM 062,STANFORD, CA 94305",94305,Pass,95,37.431914,-122.176276,"(37.431914,-122.176276)"
Li Ka Shing Ctr For Learning Cafe,"291 Campus Dr ,Stanford, Ca 94305","291 CAMPUS DR ,STANFORD, CA 94305",94305,Pass,92,37.431643,-122.175884,"(37.431643,-122.175884)"
St-Coupa Cafe,"473 Via Ortega ,Stanford, Ca 94305","473 VIA ORTEGA ,STANFORD, CA 94305",94305,Pass,89,37.428036,-122.175783,"(37.428036,-122.175783)"
Palo Alto Hills Golf & Country Club,"3000 Alexis Dr ,Palo Alto, Ca 94304","3000 ALEXIS DR ,PALO ALTO, CA 94304",94304,Pass,92,37.374421,-122.175345,"(37.374421,-122.175345)"
Harvest Cafe,"725 Welch Rd ,Palo Alto, Ca 94304","725 WELCH RD ,PALO ALTO, CA 94304",94304,Pass,85,37.435877,-122.174999,"(37.435877,-122.174999)"
